,Passage, Question, Anwer
0," Bangladesh is a small populated country. The area of this country is 1,47,570 square kilometers. 17 percent of the total area of this country is forest. Dhaka is the capital of Bangladesh. There are total eight divisional cities in Bangladesh.", What is the area of Bangladesh in square kilometers?," 1,47,570."
1," Bangladesh is a small populated country. The area of this country is 1,47,570 square kilometers. 17 percent of the total area of this country is forest. Dhaka is the capital of Bangladesh. There are total eight divisional cities in Bangladesh.", What percentage of the total area is forest land?," 17,"
2," Bangladesh is a small populated country. The area of this country is 1,47,570 square kilometers. 17 percent of the total area of this country is forest. Dhaka is the capital of Bangladesh. There are total eight divisional cities in Bangladesh.", What is the name of the capital of Bangladesh?, Dhaka
3," Bangladesh is a small populated country. The area of this country is 1,47,570 square kilometers. 17 percent of the total area of this country is forest. Dhaka is the capital of Bangladesh. There are total eight divisional cities in Bangladesh.", How many divisional cities are there in Bangladesh?, eight
4,The total population of Bangladesh is about 16 crores. Bangladesh is eighth in terms of population in the world. Bangla is the mother tongue of Bangladesh. Bangla is the language spoken by 16 crore people of this country. About 300 million people around the world speak Bengali. Bengali is the fourth largest mother tongue in the world in terms of speaking population., The total population of Bangladesh is about crores?,16
5,The total population of Bangladesh is about 16 crores. Bangladesh is eighth in terms of population in the world. Bangla is the mother tongue of Bangladesh. Bangla is the language spoken by 16 crore people of this country. About 300 million people around the world speak Bengali. Bengali is the fourth largest mother tongue in the world in terms of speaking population., What is the population of Bangladesh in the world?, the eighth
6,The total population of Bangladesh is about 16 crores. Bangladesh is eighth in terms of population in the world. Bangla is the mother tongue of Bangladesh. Bangla is the language spoken by 16 crore people of this country. About 300 million people around the world speak Bengali. Bengali is the fourth largest mother tongue in the world in terms of speaking population.,What is the mother tongue of Bangladesh?, Bangla
7,The total population of Bangladesh is about 16 crores. Bangladesh is eighth in terms of population in the world. Bangla is the mother tongue of Bangladesh. Bangla is the language spoken by 16 crore people of this country. About 300 million people around the world speak Bengali. Bengali is the fourth largest mother tongue in the world in terms of speaking population., Bangla is the language spoken by millions of people?,16
8,The total population of Bangladesh is about 16 crores. Bangladesh is eighth in terms of population in the world. Bangla is the mother tongue of Bangladesh. Bangla is the language spoken by 16 crore people of this country. About 300 million people around the world speak Bengali. Bengali is the fourth largest mother tongue in the world in terms of speaking population., About how many millions of people around the world speak Bengali?,30
9,The total population of Bangladesh is about 16 crores. Bangladesh is eighth in terms of population in the world. Bangla is the mother tongue of Bangladesh. Bangla is the language spoken by 16 crore people of this country. About 300 million people around the world speak Bengali. Bengali is the fourth largest mother tongue in the world in terms of speaking population., Bengali is the largest mother tongue in the world?, Fourth.
